"prey1reprCost","prey1ctchRate","replicatesNb","prey1extFreq","prey2extFreq","pred1extFreq","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin","prey1catchRateMean","prey1catchRateMax","prey1catchRateMin","prey2catchRateMean","prey2catchRateMax","prey2catchRateMin"
25,0.04,30,0,1,0,4283.38205128205,4356.83333333333,4223.9,0.0641025641025641,0.266666666666667,0,496.124358974359,507,481.133333333333,0.000687743319390531,0.0115807877222638,-0.00733238398770667,0.00277777777777778,0.0333333333333333,-0.0333333333333333,1.95200672618748e-05,0.0136393055503377,-0.0145456579694668,1024.44743589744,1057.7,991.333333333333,0.0217948717948718,0.133333333333333,0,0.0266434376457954,0.0273278683190259,0.0256844305379668,0.000497100122100122,0.00316666666666667,0
25,0.05,30,0,0,0.933333333333333,5529.65,5711.06666666667,5390.33333333333,5260.71923076923,5418.43333333333,5090.6,24.8294871794872,53.8,1.26666666666667,0.00503269541675558,0.0288231629898508,-0.0240184837423183,0.00673736150888074,0.0192029217581114,-0.0138283538484714,-8.16319658720096e-05,0.0198687664041995,-0.0336760124610592,29.3730769230769,72,1.7,22.6576923076923,54.0333333333333,1.16666666666667,0.0015711142768726,0.0039410470648927,5.62151393441641e-05,0.00127449097156099,0.00311631143689809,4.47189165242671e-05
25,0.06,30,0,0,0.533333333333333,2949.22948717949,3479.73333333333,2183.56666666667,3740.19230769231,3997.7,3288.03333333333,215.598717948718,280.033333333333,166,0.0492361439333066,0.101408920138531,0.00104940418741889,0.0155511981558891,0.0546664616808057,-0.0159943523358041,-0.0278843623739649,0.0453767672170671,-0.0990876919874407,195.002564102564,252.066666666667,128,258.432051282051,342.2,179.866666666667,0.0164729544104013,0.0253830405687023,0.0119114165786463,0.011161351692115,0.0174281793680532,0.00794710098494699
25,0.07,30,0.8,0,0,5.19871794871795,6.23333333333333,4.1,4072.55128205128,4112.5,4054.66666666667,305.816666666667,310.733333333333,298.433333333333,0.0266254314135466,0.102106206997511,-0.0746222140432667,0.000693432919783767,0.00720409607482406,-0.00397473841287499,0.000265363322372635,0.0152797821259693,-0.0126026277691307,1.35384615384615,1.8,0.966666666666667,630.428205128205,641.1,612.166666666667,0.00698215741621698,0.012761496778651,0.00461402756161155,0.016622563598503,0.0169872306703363,0.0160698796594484
25,0.08,30,1,0,0,0,0,0,4096.88205128205,4136.06666666667,4046.33333333333,306.924358974359,313.8,299.033333333333,0,0,0,-1.49406429994889e-06,0.00517206649515575,-0.00531338285105231,0.000498647542809314,0.0158734983668315,-0.017701890288967,0,0,0,635.053846153846,653.333333333333,616.566666666667,0,0,0,0.0166315295489963,0.0171951614377046,0.0161776910850508
30,0.04,30,0,0,0.233333333333333,4354.95,4489.2,4181.4,2327.48205128205,2545.36666666667,1968.93333333333,277.455128205128,327.266666666667,242.9,0.00817328738001893,0.0327208991663941,-0.0195654569244824,0.00642414095681269,0.0506968258532186,-0.0363775755597434,0.0366653673759624,0.183205421791023,-0.0278156194631947,461.473076923077,522.466666666667,409.433333333333,121.430769230769,178.166666666667,82.3333333333333,0.014358944876226,0.0176482321797947,0.0123449986959391,0.0141014824835557,0.0173291602556635,0.011696496468627
30,0.05,30,0,0,0.7,3665.02948717949,4631,3013.46666666667,3916.30897435897,4762.5,3503.7,157.548717948718,337.3,29.6,0.0355973636416258,0.0584645110065956,-0.00426040956598215,0.0231273790119,0.0468145472767897,-0.0153807351524755,-0.0438594444825356,0.0329208374078798,-0.129277721125519,141.633333333333,355.433333333333,24.2,177.035897435897,380.333333333333,34.2666666666667,0.0108165324958944,0.0210971890994041,0.00268800707598028,0.00879042357287516,0.0172179347767653,0.00215331193067375
30,0.06,30,0.666666666666667,0,0,10.8987179487179,13.7666666666667,8.2,4069.69871794872,4088.7,4050.73333333333,307.125641025641,312.266666666667,300.966666666667,-0.00657319352873194,0.0736071274017921,-0.0802843814800337,0.000350200514819739,0.00361296917167319,-0.00375774001692594,0.00113236819499184,0.0156134775364088,-0.0106727212635291,2.55128205128205,3.4,1.53333333333333,632.039743589744,643.866666666667,620.233333333333,0.00986367404983222,0.0140504637088352,0.00528710197048605,0.0166730345036134,0.0169901094077772,0.0163707683505592
30,0.07,30,1,0,0,0,0,0,4076.55769230769,4105.26666666667,4044.33333333333,306.76282051282,310.8,302.566666666667,0,0,0,-0.000298660678394066,0.00389330252385654,-0.00395457812187352,0.00103728412958432,0.0135658704219061,-0.0193574370800658,0,0,0,633.55,643.466666666667,623.3,0,0,0,0.016674668683635,0.0170641667538254,0.0164386204299577
30,0.08,30,1,0,0,0,0,0,4085.88717948718,4143.53333333333,4044.63333333333,306.476923076923,315.366666666667,300.666666666667,0,0,0,1.70338439207189e-05,0.00677078375545647,-0.00775718345917453,0.000633168918945048,0.0159876952884558,-0.0110601965655369,0,0,0,633.396153846154,652.366666666667,620.866666666667,0,0,0,0.0166304770285139,0.0172161887470186,0.0162490788264583
