"prey1cullQuota","predcullQuota","replicatesNb","prey1extFreq","prey2extFreq","pred1extFreq","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin","prey1catchRateMean","prey1catchRateMax","prey1catchRateMin","prey2catchRateMean","prey2catchRateMax","prey2catchRateMin"
0.1,0.1,50,0,0,0.02,3343.62705882353,4471.72,1684.34,3785.73450980392,4939.4,2034.78,316.629019607843,593.58,103.88,0.00887248171923877,0.12053906044382,-0.0962606584239323,0.00756422962910916,0.122048924506026,-0.0854235158968377,0.0435590085256053,0.166518899205599,-0.17001363954035,385.356470588235,717.9,115.86,428.005490196078,786.86,141.22,0.0139304308868133,0.0288450047934664,0.00465453154809214,0.0138857939213913,0.0288303879981634,0.00470683063728588
0.1,0.15,50,0,0,0,3275.43450980392,3937.12,2523.14,3786.27490196078,4437.38,3034.94,353.49568627451,476.66,252.48,0.00872742216359884,0.052348427821961,-0.0409859493715165,0.00711183401790829,0.0461970866289311,-0.0365379060925438,0.0085954986098826,0.0746616906826325,-0.0657291018665383,456.317647058824,627.06,316.56,522.485098039216,698.26,375.48,0.015571348493856,0.0214442973690705,0.0109616541525913,0.0155744153548502,0.0214189595317429,0.0109651542428173
0.1,0.2,50,0,0,0,4069.54509803922,4629.72,3838.62,4460.23098039216,4993.9,4238.3,358.023529411765,392.34,245.52,-0.00349490758701311,0.00355510936038232,-0.010166548544053,-0.00294310607537972,0.00320568970033636,-0.00838611625427811,0.0138981403525442,0.0566583647449687,-0.00976669132031963,525.109019607843,576.16,368.48,577.585882352941,630.62,399.72,0.014033270880977,0.0158783933892743,0.00872220134164181,0.0140515765191419,0.0158572032791538,0.00877361900759485
0.1,0.25,50,0,0,0.02,5129.45058823529,5157.66,5112.58,5526.55725490196,5542.54,5507.22,24.2203921568627,28.06,21.08,9.93509983125319e-05,0.00542912020126909,-0.005656275082625,-8.65234310488126e-06,0.00323624490015416,-0.00371242294575037,0.0537306294250132,0.199600701548908,-0.0423267285611902,40.4317647058824,47.14,34.7,43.7180392156863,51.74,37.38,0.000804625211177273,0.00094617201680535,0.000688641819113694,0.00080772572679032,0.000961521813215037,0.000688715623385371
0.15,0,50,0,0,0.18,2006.56705882353,3069.06,1088.22,4167.4137254902,5123.44,2993.42,186.862745098039,391.72,41.84,0.0231354250424397,0.108601783357193,-0.075301005861706,0.0165133423989849,0.151579200395545,-0.0406142505380196,0.0567322454404373,0.251789259887759,-0.172545773626447,135.358823529412,325.54,27.58,263.348235294118,515.54,65.22,0.00931048547509033,0.0201197955190935,0.00204140895335561,0.00932047399157283,0.0203851603542011,0.002082381104933
0.15,0.05,50,0,0,0,1600.1831372549,2734.08,724.38,4209.06156862745,5153.88,2500.42,227.405882352941,519.16,70.46,0.0183523962137499,0.0977167990109956,-0.125436531524294,0.011734574173492,0.113415017643312,-0.0760838552934408,0.0483419031046576,0.177198495745698,-0.17226994455218,161.617647058824,432.94,36.48,365.62431372549,764.88,122.06,0.0110367754634925,0.0266292318031008,0.00336619923657471,0.0109703226151656,0.0269906015586721,0.00335221340014676
0.15,0.1,50,0,0,0,1496.15058823529,2452.64,897.34,4321.16549019608,5170.12,3044.96,247.497254901961,443.9,101.14,0.00854362055096376,0.0798400246893092,-0.0847868704786708,0.0129014755121258,0.0863338637147962,-0.0380746553365683,0.0128485902226636,0.115515471671639,-0.136793187103623,170.660392156863,365.18,54.82,448.927058823529,747.42,194.28,0.0118860403764569,0.0217098017994082,0.00472008741056017,0.0118711250247961,0.0216288699813596,0.00476725020543534
0.15,0.15,50,0,0,0,1979.84,2685.06,1711.18,4496.8337254902,4767.96,4075.48,287.555294117647,355.98,241.48,-0.00736149564378067,0.022787461180306,-0.0502306165238984,0.00154410652426558,0.0158897680925197,-0.014142867168361,-0.000293370342086112,0.0248681030685691,-0.03159398522221,248.238431372549,377.92,191.48,539.658039215686,606.18,470.74,0.0131462307405067,0.0162069009711191,0.0107138010518073,0.0130820621216031,0.0162779448590854,0.0107836988804373
0.15,0.2,50,0,0,0,3818.20352941176,4447.96,3237.08,5052.63725490196,5359.2,4812.44,213.569803921569,277.72,102.7,-0.0062026566944035,-0.00136124871538841,-0.0120685626696983,-0.00201466538881714,0.00402833704994912,-0.00628411853066034,0.0323637232852425,0.0795343601980612,-0.003809803517999,277.769411764706,345.98,145.78,384.138431372549,510.02,181.5,0.00822110061394941,0.0113525820372658,0.00366569161061454,0.00817931574273873,0.0111559421658803,0.00363771633415262
0.15,0.25,50,0,0,0.12,4730.0537254902,4747.4,4708.12,5552.88,5565.52,5539.44,7.62588235294118,8.32,7.08,0.000149184080731625,0.00398606054087294,-0.0037656144566915,7.81725735099028e-05,0.00326903000461167,-0.00310424949671616,0.0787549253522723,0.263136930222231,-0.0634786261103685,12.2203921568627,14,10.58,14.1933333333333,16.4,12.36,0.000261287392342733,0.000299643786090545,0.000225560488155656,0.000257765524388238,0.000297638768577971,0.000224350132189918
0.2,0,50,0.02,0,0.3,1376.7031372549,1482.88,1242.6,4703.02431372549,5252.08,3842.9,157.993725490196,238.46,56.64,-0.035002671313809,0.0266634795526506,-0.128181431246916,0.00829065573137955,0.0653952013136401,-0.0185454198192992,0.0252525515670416,0.1075582121836,-0.0968516413793648,13.8678431372549,34.82,1.96,317.805490196078,474.44,103.7,0.00851126853172554,0.014516127114245,0.0027289954359139,0.00829228793151222,0.0128738978096723,0.00293852519480698
0.2,0.05,50,0,0,0.2,1020.22431372549,1420.2,851.24,4687.30156862745,5171.06,3652.38,178.083529411765,273.14,96.68,-0.0396283024088236,0.0032497634876855,-0.105981659470852,0.00689181527564887,0.0482671626047293,-0.0136475633526903,0.00224801425636441,0.0553718683858936,-0.0887652330404947,25.4972549019608,141.34,4.78,375.369411764706,496.2,200.82,0.00936956379291772,0.0164579428042869,0.00496915834627094,0.00934214871876812,0.0162018842335095,0.00492899253376293
0.2,0.1,50,0,0,0.14,1101.62352941176,2662.16,732.88,4821.96078431373,5157.06,4166.22,189.349803921569,309.18,137.94,-0.0382663680374304,0.00487863663000801,-0.0964833919387374,0.0016446373336737,0.0290867087099361,-0.018830548976863,-0.00284028227236466,0.0685677611368558,-0.0627276988159274,70.4086274509804,226.64,13.2,398.025490196078,565.22,317.76,0.00941872013647684,0.0153955866474325,0.00671039895295427,0.00936448484411349,0.015167999856981,0.00674483185902056
