"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
440,26,230173.416666667,228616.416666667,231675.5,68581.3333333333,66263.3333333333,70953.5,486.416666666667,451.333333333333,520.166666666667,4024.75,3969.58333333333,4080.16666666667,29.1538461538462,17.2692307692308,42.4615384615385,305.076923076923,171.5,432.423076923077,344.5,329,359.916666666667,0.136099157943317,0.109768761479229,0.16148276782064,-0.000922230628379154,-0.0101566312154174,0.007433191884978,0.0392262826879266,0.015291791325311,0.0573084803033793,0.0155813465918482,0.0145384779133674,0.0167245788295025,0.0176461681550177,0.0170354632364463,0.0181882518758426
450,26,227401.083333333,225982.166666667,228971.25,68742,66415.0833333333,70999.6666666667,553.416666666667,516.916666666667,587.166666666667,3972.66666666667,3923.75,4028.41666666667,32.5,18.3461538461538,46.9615384615385,315.730769230769,187.038461538462,451.846153846154,358.916666666667,343.916666666667,375.416666666667,0.139785156851224,0.11671371909862,0.162450447271037,-0.0128216690882087,-0.0219384539004995,-0.00417966572231589,0.0421304321840106,0.0212552380606964,0.0636425480333303,0.0154176073527977,0.0143367701759925,0.0163828138555713,0.0183383068121421,0.0178761669864334,0.0188104509554736
460,26,224307.833333333,222696.166666667,226066.916666667,71796.9166666667,69442.1666666667,74377.8333333333,629,585.083333333333,668.5,3893.08333333333,3826,3952.08333333333,40.1923076923077,22.8461538461538,56.3461538461538,326.269230769231,198.692307692308,463.115384615385,373.166666666667,356.083333333333,394.666666666667,0.136651045662144,0.111539237238797,0.164802773553107,-0.0200648014451415,-0.0258385982253709,-0.013870973993563,0.0395111688162521,0.023315151530008,0.0587880655644829,0.0169089631720308,0.0156647666205079,0.018106138463603,0.019284925095163,0.0186861921206864,0.0198357368523981
470,26,221081.416666667,219175,223074.833333333,75157.1666666667,72390.1666666667,78227,709,664.75,749.583333333333,3823.75,3744,3896.66666666667,46.0384615384615,25.5769230769231,65.8076923076923,329.923076923077,197.269230769231,468.5,381.333333333333,363.75,399.833333333333,0.129851836736181,0.102996030075188,0.157096217913724,-0.0179134889340639,-0.0276288320023103,-0.00639355726621569,0.0225871232154314,0.00603172786111315,0.038009643081512,0.017014889358713,0.0160508054872555,0.0180286960495971,0.0199737606967902,0.0193650568545425,0.02052948742166
480,26,217302.416666667,215175.25,219374.916666667,78246.6666666667,74574.5833333333,81997.25,787.083333333333,735.833333333333,841.416666666667,3719.16666666667,3603.25,3806.58333333333,54.2307692307692,30.8461538461538,77.2307692307692,333.076923076923,194.730769230769,478,391,373.583333333333,409.25,0.109897031491634,0.0932184216861745,0.12688573213093,-0.027668610900464,-0.035658516392098,-0.0197961419918717,0.0264551269631808,0.00803792114150655,0.0469595152117371,0.0178630793462791,0.0168725948856534,0.0187293741821837,0.0205956836330917,0.0200059379475438,0.0211524858012622
490,26,213875,211690.333333333,215949.833333333,82539.25,78622.1666666667,87225.5,876.75,831.75,920.5,3648.25,3536.5,3750.5,62.2692307692308,35.1923076923077,88.0769230769231,327.769230769231,192.692307692308,468.576923076923,403.083333333333,387.083333333333,417.083333333333,0.117477141194246,0.0942567790998861,0.143597898930257,-0.0193461117858281,-0.0285649158189914,-0.00939610685049986,0.0322803352725234,0.014016630175624,0.0508325677095258,0.0184611393650065,0.0174055333671292,0.0195808204364608,0.0208838345424197,0.0203496472460529,0.0214696339036831
500,26,209750,207624.5,211764.833333333,86419.75,81626.25,92161.8333333333,969.25,910.666666666667,1027.41666666667,3529.08333333333,3406.83333333333,3640.66666666667,69,39.9230769230769,97.2692307692308,334.730769230769,193.423076923077,477.615384615385,415.75,400.333333333333,428,0.104647782518893,0.0884507149707617,0.118983911039693,-0.0328766620637579,-0.0398338739849808,-0.0255142628072302,0.0326351168677485,0.0123873134617339,0.0520579272938721,0.0184827012013511,0.0175736301662034,0.0193713401248189,0.0218062143054056,0.0211970385637457,0.0224181798931041
510,26,205800.583333333,203014.583333333,208292.083333333,92121.3333333333,86907.6666666667,97537.4166666667,1053,999.5,1110,3422.66666666667,3288.75,3540,81.2692307692308,47.0384615384615,112.230769230769,339.153846153846,196.884615384615,478.615384615385,433.75,422.5,445,0.0885111650694223,0.0676089315619609,0.111611220189979,-0.0302520120443301,-0.0370195072679196,-0.0241509614923949,0.0444526212721796,0.0272343721077305,0.062659962948966,0.0197868726162048,0.0189367093666922,0.0206384374273763,0.0229407369139108,0.0223076201658445,0.0235167282897776
520,26,202227.333333333,199545,204679.583333333,96817.25,91340.25,102323.5,1129.25,1064.41666666667,1198.5,3264.08333333333,3133.75,3387.58333333333,94.2692307692308,57,131.884615384615,336.230769230769,196.153846153846,474.653846153846,443.25,431.333333333333,455,0.0719607739288311,0.0543619776314923,0.0927036830493192,-0.0466208083144657,-0.053797961524469,-0.03896037185098,0.0228177499651456,-0.00169484891892978,0.0481872115616024,0.0212822383366883,0.0203300968569866,0.0222044866283693,0.0234552069619461,0.022893259729335,0.0240432013678946
530,26,198586.916666667,195472.916666667,201509.583333333,103933.5,98572.5833333333,109385.416666667,1225.5,1153.75,1301.08333333333,3126,3006.58333333333,3243.91666666667,100.038461538462,56.5769230769231,142.384615384615,330.5,191.384615384615,473.384615384615,442.666666666667,427.25,458.833333333333,0.0852002290161784,0.0759219514661429,0.0937113175843319,-0.0419679861692574,-0.052059396267234,-0.0300275682829975,-0.00152885508950854,-0.0201957226634437,0.0150553384046202,0.0210671531878225,0.0202714385785404,0.0217725470284109,0.0242362135648987,0.0236697744296922,0.0247964322566841
